Company,Title,Location,Link
2U / edX,"Compliance Coordinator (6-Month Contract, Night Shift)NewRemote - South Africa",,https://job-boards.greenhouse.io/2u/jobs/8217515002
Coursera,Senior Enterprise Campaign Managertags.newUnited States,,https://job-boards.greenhouse.io/coursera/jobs/5682017004
Coursera,Senior Full-Stack AI EngineerUnited States,,https://job-boards.greenhouse.io/coursera/jobs/5621325004
Coursera,Senior People Technology Analyst (Workday & AI)India,,https://job-boards.greenhouse.io/coursera/jobs/5638659004
Coursera,Senior Staff Data Security Privacy EngineerUnited States,,https://job-boards.greenhouse.io/coursera/jobs/5567532004
Coursera,Staff Security EngineerUnited States,,https://job-boards.greenhouse.io/coursera/jobs/5543056004
HMH (Houghton Mifflin Harcourt),Français (Canada),,https://careers.hmhco.com/jobs?locale=fr_CA
Khan Academy,"AI Engineer (12 months or 18 months fixed-term)Mountain View, CA / Remote friendly (Continental US + Hawaii only)",,https://job-boards.greenhouse.io/khanacademy/jobs/7156235
Khan Academy,"Assessment Content Creator, Algebra II (12 months fixed-term)Mountain View, CA / Remote (Continental US + Hawaii Only)",,https://job-boards.greenhouse.io/khanacademy/jobs/7309567
Khan Academy,"Assessment Content Creator, Middle School ELAMountain View, CA / Remote (Continental US + Hawaii + Canada Only)",,https://job-boards.greenhouse.io/khanacademy/jobs/7305838
Khan Academy,"Assistive Technology Specialist (Screen Reader) (10 Hours Per Week, 6 Months/ $80hr)Mountain View, CA / Remote (Continental US + Hawaii)",,https://job-boards.greenhouse.io/khanacademy/jobs/7315466
Khan Academy,"Audio Generation & QA Specialist, Khan Kids (Part-time contract, up to 20 hours/week; $40-50/hr)NewMountain View, CA / Remote (Continental US + Hawaii + Canada Only)",,https://job-boards.greenhouse.io/khanacademy/jobs/7344645
Khan Academy,"Data Management Associate - Partner OperationsDelhi, Gurgaon, Noida (Remote Friendly)",,https://job-boards.greenhouse.io/khanacademy/jobs/6999310
Khan Academy,"English Chemistry Video Content Creator, Grade 11- 12 (Freelancer), IndiaIndia (Remote)",,https://job-boards.greenhouse.io/khanacademy/jobs/7156991
Khan Academy,"Fullstack Engineer II, Districts Platform (International) (24 months fixed-term)Mountain View, CA / Remote friendly (Continental US + Hawaii Only)",,https://job-boards.greenhouse.io/khanacademy/jobs/7077534
Khan Academy,"Math Exercise Creator, Freelancer, IndiaIndia (Remote)",,https://job-boards.greenhouse.io/khanacademy/jobs/7157001
Khan Academy,"Project Associate (Odisha)Bhubaneswar, Odisha",,https://job-boards.greenhouse.io/khanacademy/jobs/6907425
Khan Academy,"Regional Sales Manager, MidwestMountain View, CA / Remote (Continental US only)",,https://job-boards.greenhouse.io/khanacademy/jobs/7219257
Khan Academy,"Senior Content Creator, Test Prep and ELA (2 Year Fixed Term)NewMountain View, CA / Remote (Continental US + Hawaii + Canada Only)",,https://job-boards.greenhouse.io/khanacademy/jobs/7312750
Khan Academy,"Sr. Design Manager, ProductMountain View, CA / Remote (Continental US + Hawaii + Canada)",,https://job-boards.greenhouse.io/khanacademy/jobs/7235520
Khan Academy,"Sr. Fullstack Engineer I (24 months fixed-term)Mountain View, CA / Remote friendly (Continental US + Hawaii Only)",,https://job-boards.greenhouse.io/khanacademy/jobs/7140544
Khan Academy,"Sr. Fullstack Engineer I, Districts Platform (International) (24 months fixed-term)Mountain View, CA / Remote friendly (Continental US + Hawaii Only)",,https://job-boards.greenhouse.io/khanacademy/jobs/7077660
Khan Academy,"Sr. Fullstack Engineer II (24 months fixed-term)Mountain View, CA / Remote friendly (Continental US + Hawaii Only)",,https://job-boards.greenhouse.io/khanacademy/jobs/7140462
Khan Academy,"Sr. Product Manager, InternationalMountain View, CA / Remote (Continental US + Hawaii+ Canada Only)",,https://job-boards.greenhouse.io/khanacademy/jobs/7280365
Khan Academy,"Staff Product Designer, Language and Literature (30 months fixed-term)Mountain View, CA / Remote (Continental US + Hawaii Only)",,https://job-boards.greenhouse.io/khanacademy/jobs/7270965
Khan Academy,Training Coordinator - KarnatakaKarnataka,,https://job-boards.greenhouse.io/khanacademy/jobs/7244562
