Company,Title,Location,Link
Coursera,Partner Content - Associate Growth Account Manager (Delhi/Bengaluru)India,,https://job-boards.greenhouse.io/coursera/jobs/5756467004
Coursera,"Sales Development Representative (Miami, FL)United States",,https://job-boards.greenhouse.io/coursera/jobs/5711707004
Coursera,Senior Security EngineerUnited States,,https://job-boards.greenhouse.io/coursera/jobs/5804964004
Coursera,Senior Staff Data Security Privacy EngineerCanada; United States,,https://job-boards.greenhouse.io/coursera/jobs/5567532004
HMH (Houghton Mifflin Harcourt),Français (Canada),,https://careers.hmhco.com/jobs?locale=fr_CA
Khan Academy,"Assessment Content Creator, Middle School Math (6-8) (12 months fixed-term)Mountain View, CA / Remote (Continental US + Hawaii + Canada Only)",,https://job-boards.greenhouse.io/khanacademy/jobs/7604176
Khan Academy,"Content Intern, Chemistry ($42/hour; 40 hours/week; 8 weeks, Summer 2026)NewMountain View, CA / Remote (Continental US + Hawaii)",,https://job-boards.greenhouse.io/khanacademy/jobs/7679176
Khan Academy,"Content Intern, ELA ($42/hour; 40 hours/week; 8 weeks, Summer 2026)NewMountain View, CA / Remote (Continental US + Hawaii)",,https://job-boards.greenhouse.io/khanacademy/jobs/7680287
Khan Academy,"Content Intern, Math ($42/hour; 40 hours/week; 8 weeks, Summer 2026)NewMountain View, CA / Remote (Continental US + Hawaii)",,https://job-boards.greenhouse.io/khanacademy/jobs/7680137
Khan Academy,"Content Intern, Social Studies ($42/hour; 40 hours/week; 8 weeks, Summer 2026)NewMountain View, CA / Remote (Continental US + Hawaii)",,https://job-boards.greenhouse.io/khanacademy/jobs/7679983
Khan Academy,"English Chemistry Video Content Creator, Grade 11- 12 (Freelancer), IndiaIndia (Remote)",,https://job-boards.greenhouse.io/khanacademy/jobs/7156991
Khan Academy,"Fullstack Engineer II, Tutor Platform (12 months fixed-term)Mountain View, CA / Remote friendly (US + Canada Only)",,https://job-boards.greenhouse.io/khanacademy/jobs/7445002
Khan Academy,"Fullstack Engineer II, Tutor Platform (24 months fixed-term)Mountain View, CA / Remote friendly (US + Canada Only)",,https://job-boards.greenhouse.io/khanacademy/jobs/7657584
Khan Academy,"Legal Operations Manager, Privacy and ComplianceMountain View, CA / Remote (Continental US + Hawaii + Canada Only)",,https://job-boards.greenhouse.io/khanacademy/jobs/7629702
Khan Academy,"Math Video Creator Freelance (Grades 11-12), IndiaIndia (Remote)",,https://job-boards.greenhouse.io/khanacademy/jobs/7358482
Khan Academy,"Project Associate (Odisha)Bhubaneswar, Odisha",,https://job-boards.greenhouse.io/khanacademy/jobs/6907425
Khan Academy,"Senior Analytics EngineerMountain View, CA / Remote (Continental US + Hawaii + Canada Only)",,https://job-boards.greenhouse.io/khanacademy/jobs/7561420
Khan Academy,"Senior Fullstack Engineer I, Content Platform (24 months fixed-term)NewMountain View, CA / Remote friendly (Continental US + Hawaii + Canada)",,https://job-boards.greenhouse.io/khanacademy/jobs/7687472
Khan Academy,"Senior Fullstack Engineer II, Khan KidsSan Mateo, CA / Remote friendly (Continental US + Hawaii + Canada)",,https://job-boards.greenhouse.io/khanacademy/jobs/7445375
Khan Academy,"Senior Platform Engineer I, AI Evaluation (24 months fixed-term)Mountain View, CA / Remote (Continental US + Hawaii + Canada Only)",,https://job-boards.greenhouse.io/khanacademy/jobs/7453480
Khan Academy,"Senior Quality Engineer I (24 months fixed-term)Mountain View, CA / Remote (Continental US + Hawaii + Canada Only)",,https://job-boards.greenhouse.io/khanacademy/jobs/7616989
Khan Academy,"Staff Product Designer, DistrictsMountain View, CA / Remote (Continental US + Hawaii + Canada Only)",,https://job-boards.greenhouse.io/khanacademy/jobs/7565878
Khan Academy,Training Coordinator - KarnatakaKarnataka,,https://job-boards.greenhouse.io/khanacademy/jobs/7244562
